index,prediction
0,37.0 centimetre
1,189.0 centimetre
2,169.0 centimetre
3,22.0 centimetre
4,50.0 centimetre
5,59.0 centimetre
6,63.0 centimetre
7,65.0 centimetre
8,156.0 centimetre
9,106.0 inch
10,179.0 gram
11,95.0 centimetre
12,132.0 millimetre
13,160.0 millimetre
14,89.0 millimetre
15,168.0 gram
16,91.0 pound
17,156.0 kilogram
18,151.0 watt
19,193.0 centimeter 
20,20.0 inch
21,50.0 inch
22,44.0 millilitre
23,29.0 centimetre
24,118.0 centimetre
25,172.0 centimetre
26,81.0 centimetre
27,127.0 gram
28,195.0 kilogram
29,160.0 gram
30,41.0 gram
31,71.0 gram
32,116.0 centimetre
33,21.0 centimetre
34,68.0 centimetre
35,99.0 gram
36,30.0 centimetre
37,113.0 centimeter 
38,135.0 watt
39,166.0 foot
40,76.0 centimetre
41,141.0 centimetre
42,101.0 centimetre
43,173.0 centimetre
44,111.0 inch
45,141.0 inch
46,26.0 inch
47,91.0 centimetre
48,152.0 centimetre
49,184.0 foot
50,126.0 centimetre
51,8.0 gram
52,39.0 watt
53,104.0 centimetre
54,63.0 centimetre
55,180.0 inch
56,71.0 gram
57,67.0 foot
58,175.0 centimetre
59,55.0 watt
60,40.0 volt
61,22.0 gram
62,9.0 centimetre
63,31.0 centimetre
64,178.0 centimetre
65,138.0 volt
66,29.0 gram
67,6.0 centimetre
68,175.0 millimetre
69,175.0 millimetre
70,170.0 millimetre
71,140.0 centimetre
72,197.0 centimetre
73,26.0 centimetre
74,172.0 watt
75,141.0 volt
76,86.0 centimetre
77,38.0 centimetre
78,89.0 gram
79,87.0 inch
80,91.0 gram
81,125.0 pound
82,147.0 kilogram
83,41.0 gram
84,98.0 centimetre
85,111.0 centimetre
86,128.0 inch
87,17.0 watt
88,123.0 volt
89,8.0 gram
90,71.0 centimetre
91,149.0 kilogram
92,175.0 centimetre
93,186.0 centimetre
94,97.0 gram
95,68.0 centimetre
96,46.0 centimetre
97,80.0 volt
98,35.0 centimetre
99,21.0 inch
100,163.0 centimetre
101,83.0 ounce
102,115.0 watt
103,44.0 inch
104,111.0 inch
105,155.0 centimetre
106,23.0 centimetre
107,186.0 inch
108,184.0 gram
109,77.0 inch
110,198.0 centimetre
111,54.0 gram
112,118.0 watt
113,197.0 kilogram
114,56.0 kilogram
115,189.0 watt
116,120.0 gram
117,5.0 gram
118,185.0 centimetre
119,19.0 centimetre
120,113.0 gram
121,170.0 centimetre
122,140.0 gram
123,162.0 pound
124,157.0 gram
125,78.0 kilogram
126,166.0 volt
127,144.0 centimetre
128,190.0 centimetre
129,145.0 kilogram
130,35.0 centimetre
131,28.0 centimetre
132,169.0 centimetre
133,142.0 centimetre
134,11.0 kilogram
135,135.0 millimetre
136,118.0 millimetre
137,22.0 centimetre
138,113.0 centimetre
139,24.0 centimetre
140,147.0 centimetre
141,50.0 centimetre
142,196.0 centimetre
143,17.0 centimetre
144,130.0 inch
145,9.0 centimetre
146,7.0 centimetre
147,197.0 millilitre
148,15.0 centimetre
149,109.0 millimetre
150,67.0 gram
151,181.0 inch
152,192.0 centimetre
153,126.0 centimetre
154,66.0 centimetre
155,98.0 centimetre
156,43.0 centimetre
157,95.0 inch
158,192.0 inch
159,120.0 gram
160,194.0 centimetre
161,52.0 ounce
162,95.0 inch
163,53.0 centimetre
164,120.0 gram
165,166.0 volt
166,35.0 watt
167,44.0 kilogram
168,149.0 centimetre
169,7.0 centimetre
170,150.0 gram
171,14.0 inch
172,195.0 gram
